STRUCTURE_NUMBER_008,STRUCTURE_NUMBER_0082,Common St. Nos.,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
0000000L2015318,0000000L2015318,Unique,35185702,101560762,1,5,1,N,N,N,6,7,7,6,N,5,7
1.08E+13,1.075E+13,Unique,33343306,96092063,1,5,1,7,6,5,5,N,5,6,N,5,3
1.08E+13,1.075E+13,Unique,33343220,96090456,1,9,1,7,7,6,6,N,6,6,N,5,3
1.08E+13,1.075E+13,Unique,33343121,96084591,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33343720,96070966,1,5,1,7,7,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33342339,96022258,1,5,1,7,7,5,5,N,5,6,N,5,6
1.08E+13,1.075E+13,Unique,33341395,96014048,1,5,1,6,6,6,5,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33351394,95530900,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33364948,96212695,1,1,5,7,7,7,N,N,7,4,9,5,N
1.08E+13,1.075E+13,Unique,33355027,95544163,1,1,5,7,7,7,N,N,7,9,6,5,N
1.08E+13,1.075E+13,Unique,33361447,96131152,1,5,1,N,N,N,5,6,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33361808,96113867,1,5,1,N,N,N,6,6,5,9,N,5,9
1.08E+13,1.075E+13,Unique,33361517,96103014,1,1,5,7,6,7,N,N,6,5,7,5,N
1.08E+13,1.075E+13,Unique,33361802,96112959,1,1,5,7,7,7,N,N,7,5,8,5,N
1.08E+13,1.075E+13,Unique,33365343,96220324,1,5,1,N,N,N,7,7,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33363371,96162419,1,5,5,7,7,7,6,N,7,9,N,5,6
1.08E+13,1.075E+13,Unique,33363051,96161108,1,5,1,N,N,N,7,7,5,9,N,5,9
1.08E+13,1.075E+13,Unique,33363423,96162111,1,5,5,7,7,7,6,N,7,7,N,5,6
1.08E+13,1.075E+13,Unique,33361875,96112976,1,1,5,7,8,7,N,N,7,6,7,5,N
1.08E+13,1.075E+13,Unique,33361632,96103024,1,1,5,7,8,7,N,N,7,5,6,5,N
1.08E+13,1.075E+13,Unique,33354562,95514423,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33361105,96084519,1,9,5,7,7,7,6,N,7,6,N,5,9
1.08E+13,1.075E+13,Unique,33361026,96082509,1,5,5,6,7,6,6,N,6,6,N,5,9
1.08E+13,1.075E+13,Unique,33361445,96075198,1,5,5,7,6,7,7,N,6,9,N,5,9
1.08E+13,1.075E+13,Unique,33362656,96022195,1,5,5,7,6,6,6,N,6,9,N,5,9
1.08E+13,1.075E+13,Unique,33362348,96055809,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362307,96051437,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33363213,96015415,1,5,1,N,N,N,7,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33363326,96014340,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362104,95585897,1,5,1,N,N,N,8,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33362009,95583550,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33355480,95553149,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33355258,95550432,1,5,1,N,N,N,7,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33361182,96084497,1,9,5,7,8,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33361107,96082522,1,5,5,7,7,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33361267,96075162,1,5,5,7,8,7,7,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33362499,96022437,1,5,5,7,8,7,6,N,7,5,N,5,9
1.08E+13,1.075E+13,Unique,33355116,95544176,1,1,5,7,8,8,N,N,8,6,6,5,N
1.08E+13,1.075E+13,Unique,33241848,95561883,1,5,1,N,N,N,7,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33270424,95562565,1,9,1,N,N,N,6,5,5,5,N,5,6
1.08E+13,1.075E+13,Unique,33272860,95563115,1,9,1,N,N,N,5,5,5,9,N,5,6
1.08E+13,1.075E+13,Unique,33311020,95561270,1,5,1,N,N,N,5,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33322341,95551589,1,5,1,N,N,N,6,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33334979,95545902,1,5,1,N,N,N,6,6,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33293375,95563360,1,5,5,7,7,6,5,N,6,6,N,5,9
1.08E+13,1.075E+13,Unique,33272018,95562995,1,5,5,7,7,6,5,N,6,7,N,5,9
1.08E+13,1.075E+13,Unique,33454899,95545972,1,9,1,N,N,N,7,6,6,9,N,5,5
1.08E+13,1.075E+13,Unique,33393937,95543275,1,5,1,7,7,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33430440,95544052,1,5,1,7,6,6,6,N,6,6,N,5,6
1.08E+13,1.075E+13,Unique,33360045,95544128,1,5,1,N,N,N,6,7,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33453794,95545795,1,9,5,7,7,7,7,N,7,6,N,5,8
1.08E+13,1.075E+13,Unique,33453166,95545698,1,5,5,7,7,7,6,N,7,6,N,5,8
1.08E+13,1.075E+13,Unique,33492405,95513804,1,5,5,7,7,5,5,N,5,6,N,5,5
1.08E+13,1.075E+13,Unique,33302399,96222134,1,5,1,7,7,6,7,N,6,5,N,5,7
1.08E+13,1.075E+13,Unique,33292215,96213872,1,5,1,7,7,6,6,N,6,4,N,5,7
1.08E+13,1.075E+13,Unique,33284497,96202611,1,5,1,7,7,6,6,N,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33224275,96141759,1,5,1,N,N,N,7,7,6,9,N,5,6
1.08E+13,1.075E+13,Unique,33261305,96201583,1,1,5,5,7,7,N,N,7,5,7,5,N
1.08E+13,1.075E+13,Unique,33274750,96214406,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33394939,96105210,1,5,4,6,6,5,7,N,5,7,N,5,6
1.08E+13,1.075E+13,Unique,33383216,96104927,1,5,4,6,6,6,6,N,6,7,N,5,6
1.08E+13,1.075E+13,Unique,33373363,96103556,1,5,4,6,6,6,6,N,6,7,N,5,6
1.08E+13,1.075E+13,Unique,33451122,96114645,1,5,5,7,7,7,7,N,7,7,N,5,9
1.08E+13,1.075E+13,Unique,33342088,96104116,5,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.075E+13,Unique,33335707,96103947,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33332094,96103441,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33323797,96105698,1,5,1,N,N,N,7,7,6,4,N,5,6
1.08E+13,1.075E+13,Unique,33322637,96104643,1,5,4,6,6,6,6,N,5,3,N,5,6
1.08E+13,1.075E+13,Unique,33254273,96100537,1,5,1,N,N,N,5,5,5,4,N,5,6
1.08E+13,1.075E+13,Unique,33241892,96121711,1,5,1,N,N,N,5,5,5,4,N,5,6
1.08E+13,1.075E+13,Unique,33233637,96132457,1,5,1,N,N,N,7,5,5,5,N,5,6
1.08E+13,1.075E+13,Unique,33224765,96161995,1,5,1,N,N,N,7,6,6,3,N,5,6
1.08E+13,1.075E+13,Unique,33222768,96174414,1,5,1,N,N,N,6,6,6,3,N,5,6
1.08E+13,1.075E+13,Unique,33222913,96184209,1,5,1,N,N,N,7,6,6,2,N,5,6
1.08E+13,1.075E+13,Unique,33223080,96194201,1,5,1,N,N,N,6,6,6,2,N,5,6
1.08E+13,1.075E+13,Unique,33223208,96202563,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.075E+13,Unique,33223261,96210246,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33223294,96212707,1,5,1,N,N,N,7,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33311786,96203378,1,5,1,N,N,N,7,7,6,5,N,5,4
1.08E+13,1.07501E+13,Unique,33325451,96161841,1,5,1,N,N,N,7,7,6,6,N,5,7
1.08E+13,1.07501E+13,Unique,33361023,96164031,1,5,1,7,7,6,8,N,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33361652,96164018,1,9,1,N,N,N,7,6,6,4,N,5,4
1.08E+13,1.07501E+13,Unique,33362358,96163999,1,9,1,N,N,N,7,6,6,4,N,5,4
1.08E+13,1.07501E+13,Unique,33372578,96152533,1,5,1,7,6,6,6,N,6,4,N,5,5
1.08E+13,1.07501E+13,Unique,33363817,96164018,1,1,5,7,7,7,N,N,7,9,6,5,N
1.08E+13,1.07501E+13,Unique,33385178,96095592,1,5,1,7,7,6,6,N,6,6,N,5,9
1.08E+13,1.07501E+13,Unique,33392130,96094531,1,5,1,7,7,7,8,N,7,6,N,5,9
1.08E+13,1.07501E+13,Unique,33393303,96093071,1,5,1,7,7,6,5,N,6,6,N,5,9
1.08E+13,1.07501E+13,Unique,33323770,96125079,1,5,1,N,N,N,5,5,5,7,N,5,6
1.08E+13,1.07501E+13,Unique,33313274,96132640,1,5,1,N,N,N,5,6,5,7,N,5,6
1.08E+13,1.07501E+13,Unique,33305299,96134983,1,5,1,N,N,N,5,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33364511,96113107,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33351980,96113296,1,5,1,N,N,N,7,7,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33344100,96113248,1,5,1,N,N,N,6,7,6,9,N,5,6
1.08E+13,1.07501E+13,Unique,33335772,96120754,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33280035,96164008,1,5,1,6,6,6,6,N,6,5,N,5,6
1.08E+13,1.07501E+13,Unique,33265618,96181906,1,5,1,N,N,N,6,6,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33280365,96163598,1,9,1,7,7,6,6,N,6,5,N,5,6
1.08E+13,1.07501E+13,Unique,33250711,96214693,1,5,1,N,N,N,6,7,6,N,N,5,6
1.08E+13,1.07501E+13,Unique,33260445,96204144,1,2,1,6,7,6,N,N,6,5,5,5,N
1.08E+13,1.07501E+13,Unique,33275321,96045350,1,5,1,6,6,6,6,N,6,4,N,5,6
1.08E+13,1.07501E+13,Unique,33263125,96033230,1,5,1,6,5,5,4,N,5,4,N,5,6
1.08E+13,1.07501E+13,Unique,33331759,96101102,1,5,1,7,7,7,6,N,7,8,N,5,6
1.08E+13,1.07501E+13,Unique,33331888,96101568,1,5,1,N,N,N,7,7,6,8,N,5,6
1.08E+13,1.07501E+13,Unique,33331404,96095842,1,5,1,N,N,N,6,7,6,8,N,5,6
1.08E+13,1.07501E+13,Unique,33254671,96204073,1,5,1,N,N,N,6,6,6,N,N,5,7
1.08E+13,1.07501E+13,Unique,33222928,96123165,1,5,1,7,7,6,5,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33223856,96114193,1,5,1,6,6,6,6,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33223485,96112008,1,5,1,6,6,6,6,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33273506,96145372,1,5,1,7,7,6,5,N,6,3,N,5,7
1.08E+13,1.07501E+13,Unique,33274510,96145363,1,5,5,8,8,6,6,N,6,5,N,5,7
1.08E+13,1.07501E+13,Unique,33224353,96092469,1,5,1,N,N,N,6,6,6,4,N,5,7
