STRUCTURE_NUMBER_008,LAT_016,LONG_017,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071
000021594-62610,32.680499999999995,-94.14583333333334,1.0,5.0,5.0,8,8,8,7,N,8.0,6,N,5.0,8
1.00E+13,30.516252777777776,-95.07409722222222,1.0,5.0,1.0,8,8,9,8,N,7.0,6,N,5.0,8
010600AA2130001,33.371655555555556,-95.77439722222222,1.0,5.0,5.0,9,9,9,9,N,9.0,6,N,5.0,5
1.08E+13,33.58438888888889,-96.30976111111111,1.0,5.0,1.0,7,6,6,5,N,6.0,5,N,5.0,6
1.08E+13,33.58405555555556,-96.3081,1.0,5.0,1.0,7,5,5,6,N,5.0,5,N,5.0,6
1.08E+13,33.57797777777778,-96.27769722222222,1.0,5.0,1.0,N,N,N,6,6,6.0,7,N,5.0,6
1.08E+13,33.57718611111112,-96.19345277777778,1.0,5.0,1.0,N,N,N,5,6,6.0,N,N,5.0,6
1.08E+13,33.57715833333334,-96.19015277777778,1.0,9.0,1.0,N,N,N,6,6,6.0,9,N,5.0,6
1.08E+13,33.57585,-96.15573055555556,1.0,5.0,1.0,7,6,5,5,N,5.0,6,N,5.0,3
1.08E+13,33.575611111111115,-96.15126666666667,1.0,9.0,1.0,7,7,6,6,N,6.0,6,N,5.0,3
1.08E+13,33.57533611111111,-96.14608611111112,1.0,5.0,1.0,N,N,N,6,7,6.0,N,N,5.0,6
1.08E+13,33.577000000000005,-96.11935,1.0,5.0,1.0,7,7,6,6,N,6.0,6,N,5.0,6
1.08E+13,33.57316388888889,-96.03960555555555,1.0,5.0,1.0,7,7,5,5,N,5.0,6,N,5.0,6
1.08E+13,33.57054166666667,-96.02791111111111,1.0,5.0,1.0,6,6,6,5,N,6.0,6,N,5.0,6
1.08E+13,33.587205555555556,-95.88583333333334,1.0,5.0,1.0,N,N,N,7,6,6.0,N,N,5.0,6
1.08E+13,33.61374444444444,-96.3574861111111,1.0,1.0,5.0,7,7,7,N,N,7.0,4,9,5.0,N
1.08E+13,33.597297222222224,-95.91156388888889,1.0,1.0,5.0,7,7,7,N,N,7.0,9,6,5.0,N
1.08E+13,33.60401944444445,-96.21986666666668,1.0,5.0,1.0,N,N,N,5,6,5.0,9,N,5.0,6
1.08E+13,33.605022222222225,-96.194075,1.0,5.0,1.0,N,N,N,6,6,5.0,9,N,5.0,9
1.08E+13,33.60421388888889,-96.17503888888889,1.0,1.0,5.0,7,6,7,N,N,6.0,5,7,5.0,N
